country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Alipur, Delhi - DPCC","02-04-2026 13:00:00",28.815329,77.153010,NO2,16,39,28
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","02-04-2026 13:00:00",28.3419248,77.319699,CO,15,84,41
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","02-04-2026 13:00:00",28.806223,76.141105,NH3,6,14,10
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","02-04-2026 13:00:00",28.806223,76.141105,CO,26,30,29
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","02-04-2026 13:00:00",28.593883,76.270653,PM10,55,319,121
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","02-04-2026 13:00:00",28.593883,76.270653,CO,12,35,19
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","02-04-2026 13:00:00",28.593883,76.270653,OZONE,14,17,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","02-04-2026 13:00:00",28.206800,76.799700,NH3,9,26,18
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","02-04-2026 13:00:00",28.206800,76.799700,SO2,6,7,7
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","02-04-2026 13:00:00",28.39072,77.30059,PM2.5,122,145,133
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","02-04-2026 13:00:00",28.39072,77.30059,NH3,11,12,11
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","02-04-2026 13:00:00",28.376058,77.315741,CO,39,40,40
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","02-04-2026 13:00:00",28.699793,77.165453,PM2.5,55,368,166
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","02-04-2026 13:00:00",28.699793,77.165453,NO2,45,108,74
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","02-04-2026 13:00:00",28.699793,77.165453,OZONE,5,131,41
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","02-04-2026 13:00:00",23.107969,72.574648,SO2,4,13,8
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","02-04-2026 13:00:00",22.977134,72.553024,NH3,2,6,4
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","02-04-2026 13:00:00",22.977134,72.553024,CO,54,91,71
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","02-04-2026 13:00:00",23.002657,72.591912,OZONE,36,93,41
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","02-04-2026 13:00:00",23.020509,72.579261,PM10,66,110,89
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","02-04-2026 13:00:00",23.020509,72.579261,NO2,8,40,21
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","02-04-2026 13:00:00",23.020509,72.579261,NH3,5,8,7
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","02-04-2026 13:00:00",23.016834,72.625775,SO2,12,101,32
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","02-04-2026 13:00:00",23.023389,72.515201,PM2.5,54,87,69
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","02-04-2026 13:00:00",23.023389,72.515201,PM10,66,108,86
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","02-04-2026 13:00:00",23.076793,72.627874,OZONE,12,109,49
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","02-04-2026 13:00:00",21.613267,73.010555,PM10,4,126,101
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","02-04-2026 13:00:00",21.613267,73.010555,SO2,12,21,13
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","02-04-2026 13:00:00",21.613267,73.010555,CO,30,46,41
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","02-04-2026 13:00:00",21.755417,72.139056,PM2.5,27,150,53
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","02-04-2026 13:00:00",21.755417,72.139056,NH3,2,2,2
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","02-04-2026 13:00:00",21.755417,72.139056,SO2,4,14,7
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","02-04-2026 13:00:00",23.163798,72.677768,PM10,109,163,130
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","02-04-2026 13:00:00",28.570173,76.933762,PM10,40,209,126
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-04-2026 13:00:00",28.567890,77.250515,CO,4,103,13
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","02-04-2026 13:00:00",28.6573814,77.1585447,NO2,18,112,58
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","02-04-2026 13:00:00",28.530785,77.271255,PM2.5,20,309,171
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","02-04-2026 13:00:00",28.530785,77.271255,PM10,59,263,169
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","02-04-2026 13:00:00",28.530785,77.271255,SO2,17,45,29
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","02-04-2026 13:00:00",28.530785,77.271255,CO,4,102,32
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","02-04-2026 13:00:00",28.530785,77.271255,OZONE,9,109,48
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","02-04-2026 13:00:00",28.623763,77.287209,PM10,72,346,190
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","02-04-2026 13:00:00",20.362421,72.918013,PM2.5,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","02-04-2026 13:00:00",20.362421,72.918013,SO2,NA,NA,NA
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","02-04-2026 13:00:00",22.969611,72.643500,PM10,75,128,107
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","02-04-2026 13:00:00",30.379589,76.778328,PM10,48,115,86
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","02-04-2026 13:00:00",30.379589,76.778328,NO2,8,12,10
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","02-04-2026 13:00:00",28.6701,76.9254,NH3,12,13,13
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","02-04-2026 13:00:00",28.6701,76.9254,SO2,5,8,6
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","02-04-2026 13:00:00",28.6514781,77.1473105,CO,27,102,59
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","02-04-2026 13:00:00",28.5504249,77.2159377,SO2,28,35,32
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","02-04-2026 13:00:00",28.710508,77.249485,NO2,19,82,37
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","02-04-2026 13:00:00",28.531346,77.190156,NO2,35,100,63
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","02-04-2026 13:00:00",28.531346,77.190156,SO2,7,11,9
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","02-04-2026 13:00:00",28.531346,77.190156,OZONE,2,146,54
